,ID,Hash Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
261,133,341116996c59575b8e0a66ad3d42f5063c72c9d5fd8840d5f211a4dc158a7c28,M,,,,Germany,GER,1900 Summer,1900,Summer,Paris,Gymnastics,Gymnastics Men's Individual All-Around,
669,389,0740975bf9235edebcecc325eeff6e611f13de55abfc111388ce678f98affa67,M,45.0,,,Germany,GER,1928 Summer,1928,Summer,Amsterdam,Art Competitions,"Art Competitions Mixed Architecture, Designs For Town Planning",
670,389,0740975bf9235edebcecc325eeff6e611f13de55abfc111388ce678f98affa67,M,45.0,,,Germany,GER,1928 Summer,1928,Summer,Amsterdam,Art Competitions,"Art Competitions Mixed Architecture, Architectural Designs",
687,396,1acabc3b523678f8cd7b07dd38a5a0808f8d799b0a52c0af1fc303a2562d6343,F,25.0,165.0,55.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Individual All-Around,
688,396,1acabc3b523678f8cd7b07dd38a5a0808f8d799b0a52c0af1fc303a2562d6343,F,25.0,165.0,55.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Team All-Around,
689,396,1acabc3b523678f8cd7b07dd38a5a0808f8d799b0a52c0af1fc303a2562d6343,F,25.0,165.0,55.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Floor Exercise,
690,396,1acabc3b523678f8cd7b07dd38a5a0808f8d799b0a52c0af1fc303a2562d6343,F,25.0,165.0,55.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Uneven Bars,
691,396,1acabc3b523678f8cd7b07dd38a5a0808f8d799b0a52c0af1fc303a2562d6343,F,25.0,165.0,55.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Balance Beam,
703,402,64ed8b221dbd14fc9454fab084e6283b50252d5aaf880ddb3944e1e3167ceb77,M,22.0,184.0,85.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Decathlon,
704,402,64ed8b221dbd14fc9454fab084e6283b50252d5aaf880ddb3944e1e3167ceb77,M,30.0,184.0,85.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Decathlon,
875,505,9e6e7f6280b01a03571297e34e4df2db8ced834a2d8bd6cd166c35f847681e91,M,25.0,186.0,84.0,Germany,GER,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's Decathlon,
887,508,149071c240984fff6950f4cdffd1d7729ca9ea5776f05be2879c15f7131d654f,M,,,,Germany,GER,1906 Summer,1906,Summer,Athina,Gymnastics,Gymnastics Men's Team All-Around,
995,561,6ef2688bf3a151bc63f84f92ee57f9813384c9c7086b01f4b1cab8e76bf882a7,M,26.0,184.0,73.0,Germany,GER,1994 Winter,1994,Winter,Lillehammer,Nordic Combined,Nordic Combined Men's Team,
996,561,6ef2688bf3a151bc63f84f92ee57f9813384c9c7086b01f4b1cab8e76bf882a7,M,26.0,184.0,73.0,Germany,GER,1994 Winter,1994,Winter,Lillehammer,Nordic Combined,Nordic Combined Men's Individual,
1050,586,df23145d5e928e2196ff8094067ec25ac31edf1be1622a89693787e7163ef29b,M,31.0,178.0,85.0,Germany,GER,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Men's Ice Hockey,
1188,666,b26bc38991b88706bd3cde261736158ab2318ed512a51fef9375c6614f16e40c,M,28.0,180.0,68.0,Germany,GER,2000 Summer,2000,Summer,Sydney,Taekwondo,Taekwondo Men's Featherweight,
1241,701,01317a479cc2776022238ce497f684d903ff2c18876cfac22f4024df87f6f333,M,24.0,191.0,75.0,Germany,GER,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Long Jump,
1242,702,fbf3c79d0b7326e440e9c4466354a000cf1de31f9ad91fa999def4afaa926e21,M,20.0,184.0,69.0,Germany,GER,1998 Winter,1998,Winter,Nagano,Nordic Combined,Nordic Combined Men's Team,
1243,702,fbf3c79d0b7326e440e9c4466354a000cf1de31f9ad91fa999def4afaa926e21,M,20.0,184.0,69.0,Germany,GER,1998 Winter,1998,Winter,Nagano,Nordic Combined,Nordic Combined Men's Individual,
1244,702,fbf3c79d0b7326e440e9c4466354a000cf1de31f9ad91fa999def4afaa926e21,M,24.0,184.0,69.0,Germany,GER,2002 Winter,2002,Winter,Salt Lake City,Nordic Combined,Nordic Combined Men's Team,Silver
1245,702,fbf3c79d0b7326e440e9c4466354a000cf1de31f9ad91fa999def4afaa926e21,M,24.0,184.0,69.0,Germany,GER,2002 Winter,2002,Winter,Salt Lake City,Nordic Combined,Nordic Combined Men's Individual,
1246,702,fbf3c79d0b7326e440e9c4466354a000cf1de31f9ad91fa999def4afaa926e21,M,24.0,184.0,69.0,Germany,GER,2002 Winter,2002,Winter,Salt Lake City,Nordic Combined,Nordic Combined Men's Sprint,Silver
1247,702,fbf3c79d0b7326e440e9c4466354a000cf1de31f9ad91fa999def4afaa926e21,M,28.0,184.0,69.0,Germany,GER,2006 Winter,2006,Winter,Torino,Nordic Combined,Nordic Combined Men's Team,Silver
1248,702,fbf3c79d0b7326e440e9c4466354a000cf1de31f9ad91fa999def4afaa926e21,M,28.0,184.0,69.0,Germany,GER,2006 Winter,2006,Winter,Torino,Nordic Combined,Nordic Combined Men's Individual,
1249,702,fbf3c79d0b7326e440e9c4466354a000cf1de31f9ad91fa999def4afaa926e21,M,28.0,184.0,69.0,Germany,GER,2006 Winter,2006,Winter,Torino,Nordic Combined,Nordic Combined Men's Sprint,
1354,767,a0d21dcf650001e531d4a1bd6e45c4db15060653d93cd95e064447ea68c613a7,M,,,,Germany,GER,1908 Summer,1908,Summer,London,Fencing,"Fencing Men's epee, Individual",
1355,767,a0d21dcf650001e531d4a1bd6e45c4db15060653d93cd95e064447ea68c613a7,M,,,,Germany,GER,1908 Summer,1908,Summer,London,Fencing,"Fencing Men's Sabre, Individual",
1356,767,a0d21dcf650001e531d4a1bd6e45c4db15060653d93cd95e064447ea68c613a7,M,,,,Germany,GER,1912 Summer,1912,Summer,Stockholm,Fencing,"Fencing Men's Foil, Individual",
1357,767,a0d21dcf650001e531d4a1bd6e45c4db15060653d93cd95e064447ea68c613a7,M,,,,Germany,GER,1912 Summer,1912,Summer,Stockholm,Fencing,"Fencing Men's Sabre, Team",
1359,769,36304c44963b44e613f7f9e1336803c4f5d6b1f114c33ec9d7c84650103067cb,F,23.0,162.0,54.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Trampolining,Trampolining Women's Individual,
1373,775,5ceb19a2c77a5489c608772f192a88a586cabc7ed052bbba3558563a9cf215fb,M,26.0,,,Germany,GER,1936 Summer,1936,Summer,Berlin,Fencing,"Fencing Men's Foil, Team",Bronze
1382,780,ca76d32050aa491f76eba1fa174e0e39a5e65dc718fabfdfe8122b4c9273f9c2,M,18.0,169.0,61.0,Germany,GER,2004 Summer,2004,Summer,Athina,Diving,Diving Men's Platform,
1417,796,7c057622bf769d81c32172975bd5768b7bb0188a1911702f858baed602013c9b,F,32.0,172.0,68.0,Germany,GER,1992 Summer,1992,Summer,Barcelona,Handball,Handball Women's Handball,
1487,827,a8cd9241964efc79ea05f93e52b3e10b2aa6e52d21bc01ab4ebe25924bbd7f3b,F,26.0,174.0,73.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Double Sculls,
1532,849,839e19c8d4e4fa7d9c0171b35fa1f90b522fb7284f5d492751dae3da8dd28881,M,25.0,189.0,87.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Coxless Fours,
1533,849,839e19c8d4e4fa7d9c0171b35fa1f90b522fb7284f5d492751dae3da8dd28881,M,29.0,189.0,87.0,Germany,GER,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Coxed Eights,Gold
1534,850,1755cdcfd50db29e32c0a6721dcdc7a5e90e145373ee318acc39cadb080a58e2,M,26.0,,,Germany,GER,1936 Summer,1936,Summer,Berlin,Rowing,Rowing Men's Coxed Pairs,Gold
1604,892,ccd56fb2867aff9835c8d03c763b11678336e9f921a0cb16222bd4d850bcf9cf,M,23.0,185.0,75.0,Germany,GER,1992 Winter,1992,Winter,Albertville,Speed Skating,Speed Skating Men's 500 metres,
1605,892,ccd56fb2867aff9835c8d03c763b11678336e9f921a0cb16222bd4d850bcf9cf,M,23.0,185.0,75.0,Germany,GER,1992 Winter,1992,Winter,Albertville,Speed Skating,"Speed Skating Men's 1,000 metres",
1606,892,ccd56fb2867aff9835c8d03c763b11678336e9f921a0cb16222bd4d850bcf9cf,M,23.0,185.0,75.0,Germany,GER,1992 Winter,1992,Winter,Albertville,Speed Skating,"Speed Skating Men's 1,500 metres",
1607,892,ccd56fb2867aff9835c8d03c763b11678336e9f921a0cb16222bd4d850bcf9cf,M,25.0,185.0,75.0,Germany,GER,1994 Winter,1994,Winter,Lillehammer,Speed Skating,Speed Skating Men's 500 metres,
1608,892,ccd56fb2867aff9835c8d03c763b11678336e9f921a0cb16222bd4d850bcf9cf,M,25.0,185.0,75.0,Germany,GER,1994 Winter,1994,Winter,Lillehammer,Speed Skating,"Speed Skating Men's 1,000 metres",
1609,892,ccd56fb2867aff9835c8d03c763b11678336e9f921a0cb16222bd4d850bcf9cf,M,25.0,185.0,75.0,Germany,GER,1994 Winter,1994,Winter,Lillehammer,Speed Skating,"Speed Skating Men's 1,500 metres",
1610,892,ccd56fb2867aff9835c8d03c763b11678336e9f921a0cb16222bd4d850bcf9cf,M,29.0,185.0,75.0,Germany,GER,1998 Winter,1998,Winter,Nagano,Speed Skating,Speed Skating Men's 500 metres,
1611,892,ccd56fb2867aff9835c8d03c763b11678336e9f921a0cb16222bd4d850bcf9cf,M,29.0,185.0,75.0,Germany,GER,1998 Winter,1998,Winter,Nagano,Speed Skating,"Speed Skating Men's 1,000 metres",
1612,892,ccd56fb2867aff9835c8d03c763b11678336e9f921a0cb16222bd4d850bcf9cf,M,29.0,185.0,75.0,Germany,GER,1998 Winter,1998,Winter,Nagano,Speed Skating,"Speed Skating Men's 1,500 metres",
1613,893,9ea4ab01344aee042046b9531ffb75a89ce70d8189d25322d1bd0178587af5d6,F,23.0,170.0,60.0,Germany,GER,1994 Winter,1994,Winter,Lillehammer,Speed Skating,"Speed Skating Women's 1,500 metres",
1678,930,db3ec87503c2874255f5de6b2c9303f7695a44db336351647c26772d02aae55b,M,33.0,,,Germany,GER,1952 Summer,1952,Summer,Helsinki,Diving,Diving Men's Springboard,
1720,956,cf3a43e4fc6a04a5019d5afa152e83b20e5ec0da78696d93398536b1d54a1d35,M,27.0,190.0,110.0,Germany-2,GER,2010 Winter,2010,Winter,Vancouver,Bobsleigh,Bobsleigh Men's Two,Silver
1721,956,cf3a43e4fc6a04a5019d5afa152e83b20e5ec0da78696d93398536b1d54a1d35,M,27.0,190.0,110.0,Germany-2,GER,2010 Winter,2010,Winter,Vancouver,Bobsleigh,Bobsleigh Men's Four,
1736,967,5dd070dbdb647c62d6a7763b3222c810cb0f79738fd4bcd0dbd174202c6ffd4c,M,23.0,172.0,62.0,Germany,GER,1960 Summer,1960,Summer,Roma,Cycling,"Cycling Men's Road Race, Individual",
1737,967,5dd070dbdb647c62d6a7763b3222c810cb0f79738fd4bcd0dbd174202c6ffd4c,M,23.0,172.0,62.0,Germany,GER,1960 Summer,1960,Summer,Roma,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver
1748,971,10a79dc005f40f703ff811f8ff2c9de89d9999115cbbb036ca1f0e26333a83ad,M,20.0,182.0,77.0,Germany,GER,1964 Summer,1964,Summer,Tokyo,Modern Pentathlon,Modern Pentathlon Men's Individual,
